date,account_id,currency,eod_balance_cny,source_system,as_of,visibility_scope
2026-01-01,AC-001,CNY,48583366.57,CORE_ACCOUNT,2026-01-01,BANK_VISIBLE_ONLY
2026-01-01,AC-002,CNY,23684323.68,CORE_ACCOUNT,2026-01-01,BANK_VISIBLE_ONLY
2026-01-01,AC-003,CNY,2943846.24,CORE_ACCOUNT,2026-01-01,BANK_VISIBLE_ONLY
2026-01-01,AC-004,CNY,19801295.67,CORE_ACCOUNT,2026-01-01,BANK_VISIBLE_ONLY
2026-01-01,AC-006,CNY,8274949.48,CORE_ACCOUNT,2026-01-01,BANK_VISIBLE_ONLY
2026-01-01,AC-007,CNY,5675202.66,CORE_ACCOUNT,2026-01-01,BANK_VISIBLE_ONLY
2026-01-01,AC-008,CNY,10367699.12,CORE_ACCOUNT,2026-01-01,BANK_VISIBLE_ONLY
2026-01-01,AC-009,CNY,2082207.13,CORE_ACCOUNT,2026-01-01,BANK_VISIBLE_ONLY
2026-01-02,AC-001,CNY,50803952.82,CORE_ACCOUNT,2026-01-02,BANK_VISIBLE_ONLY
2026-01-02,AC-002,CNY,21526870.27,CORE_ACCOUNT,2026-01-02,BANK_VISIBLE_ONLY
2026-01-02,AC-003,CNY,2945100.88,CORE_ACCOUNT,2026-01-02,BANK_VISIBLE_ONLY
2026-01-02,AC-004,CNY,19119120.02,CORE_ACCOUNT,2026-01-02,BANK_VISIBLE_ONLY
2026-01-02,AC-006,CNY,8636302.07,CORE_ACCOUNT,2026-01-02,BANK_VISIBLE_ONLY
2026-01-02,AC-007,CNY,5407771.75,CORE_ACCOUNT,2026-01-02,BANK_VISIBLE_ONLY
2026-01-02,AC-008,CNY,10141081.21,CORE_ACCOUNT,2026-01-02,BANK_VISIBLE_ONLY
2026-01-02,AC-009,CNY,1893937.95,CORE_ACCOUNT,2026-01-02,BANK_VISIBLE_ONLY
2026-01-03,AC-001,CNY,49350015.35,CORE_ACCOUNT,2026-01-03,BANK_VISIBLE_ONLY
2026-01-03,AC-002,CNY,22356644.17,CORE_ACCOUNT,2026-01-03,BANK_VISIBLE_ONLY
2026-01-03,AC-003,CNY,2947396.89,CORE_ACCOUNT,2026-01-03,BANK_VISIBLE_ONLY
2026-01-03,AC-004,CNY,18528493.42,CORE_ACCOUNT,2026-01-03,BANK_VISIBLE_ONLY
2026-01-03,AC-006,CNY,8024492.76,CORE_ACCOUNT,2026-01-03,BANK_VISIBLE_ONLY
2026-01-03,AC-007,CNY,5691246.79,CORE_ACCOUNT,2026-01-03,BANK_VISIBLE_ONLY
2026-01-03,AC-008,CNY,10325587.52,CORE_ACCOUNT,2026-01-03,BANK_VISIBLE_ONLY
2026-01-03,AC-009,CNY,1964220.04,CORE_ACCOUNT,2026-01-03,BANK_VISIBLE_ONLY
2026-01-04,AC-001,CNY,46852687.46,CORE_ACCOUNT,2026-01-04,BANK_VISIBLE_ONLY
2026-01-04,AC-002,CNY,23513850.61,CORE_ACCOUNT,2026-01-04,BANK_VISIBLE_ONLY
2026-01-04,AC-003,CNY,2953795.39,CORE_ACCOUNT,2026-01-04,BANK_VISIBLE_ONLY
2026-01-04,AC-004,CNY,17447258.15,CORE_ACCOUNT,2026-01-04,BANK_VISIBLE_ONLY
2026-01-04,AC-006,CNY,7441855.4,CORE_ACCOUNT,2026-01-04,BANK_VISIBLE_ONLY
2026-01-04,AC-007,CNY,5754103.34,CORE_ACCOUNT,2026-01-04,BANK_VISIBLE_ONLY
2026-01-04,AC-008,CNY,10816633.68,CORE_ACCOUNT,2026-01-04,BANK_VISIBLE_ONLY
2026-01-04,AC-009,CNY,1986519.81,CORE_ACCOUNT,2026-01-04,BANK_VISIBLE_ONLY
2026-01-05,AC-001,CNY,47108462.16,CORE_ACCOUNT,2026-01-05,BANK_VISIBLE_ONLY
2026-01-05,AC-002,CNY,21883837.78,CORE_ACCOUNT,2026-01-05,BANK_VISIBLE_ONLY
2026-01-05,AC-003,CNY,3181470.45,CORE_ACCOUNT,2026-01-05,BANK_VISIBLE_ONLY
2026-01-05,AC-004,CNY,16757756.21,CORE_ACCOUNT,2026-01-05,BANK_VISIBLE_ONLY
2026-01-05,AC-006,CNY,8122248.69,CORE_ACCOUNT,2026-01-05,BANK_VISIBLE_ONLY
2026-01-05,AC-007,CNY,6027561.59,CORE_ACCOUNT,2026-01-05,BANK_VISIBLE_ONLY
2026-01-05,AC-008,CNY,11261762.4,CORE_ACCOUNT,2026-01-05,BANK_VISIBLE_ONLY
2026-01-05,AC-009,CNY,1973045.42,CORE_ACCOUNT,2026-01-05,BANK_VISIBLE_ONLY
2026-01-06,AC-001,CNY,47856939.21,CORE_ACCOUNT,2026-01-06,BANK_VISIBLE_ONLY
2026-01-06,AC-002,CNY,24771891.91,CORE_ACCOUNT,2026-01-06,BANK_VISIBLE_ONLY
2026-01-06,AC-003,CNY,2966539.8,CORE_ACCOUNT,2026-01-06,BANK_VISIBLE_ONLY
2026-01-06,AC-004,CNY,17609569.32,CORE_ACCOUNT,2026-01-06,BANK_VISIBLE_ONLY
2026-01-06,AC-006,CNY,8071696.66,CORE_ACCOUNT,2026-01-06,BANK_VISIBLE_ONLY
2026-01-06,AC-007,CNY,6068151.9,CORE_ACCOUNT,2026-01-06,BANK_VISIBLE_ONLY
2026-01-06,AC-008,CNY,10873663.75,CORE_ACCOUNT,2026-01-06,BANK_VISIBLE_ONLY
2026-01-06,AC-009,CNY,2072541.23,CORE_ACCOUNT,2026-01-06,BANK_VISIBLE_ONLY
2026-01-07,AC-001,CNY,50702013.81,CORE_ACCOUNT,2026-01-07,BANK_VISIBLE_ONLY
2026-01-07,AC-002,CNY,24210901.56,CORE_ACCOUNT,2026-01-07,BANK_VISIBLE_ONLY
2026-01-07,AC-003,CNY,3195838.97,CORE_ACCOUNT,2026-01-07,BANK_VISIBLE_ONLY
2026-01-07,AC-004,CNY,18481970.09,CORE_ACCOUNT,2026-01-07,BANK_VISIBLE_ONLY
2026-01-07,AC-006,CNY,8371793.01,CORE_ACCOUNT,2026-01-07,BANK_VISIBLE_ONLY
2026-01-07,AC-007,CNY,6309412.63,CORE_ACCOUNT,2026-01-07,BANK_VISIBLE_ONLY
2026-01-07,AC-008,CNY,11370956.11,CORE_ACCOUNT,2026-01-07,BANK_VISIBLE_ONLY
2026-01-07,AC-009,CNY,2132853.67,CORE_ACCOUNT,2026-01-07,BANK_VISIBLE_ONLY
2026-01-08,AC-001,CNY,50656010.63,CORE_ACCOUNT,2026-01-08,BANK_VISIBLE_ONLY
2026-01-08,AC-002,CNY,23682660.76,CORE_ACCOUNT,2026-01-08,BANK_VISIBLE_ONLY
2026-01-08,AC-003,CNY,3105888.5,CORE_ACCOUNT,2026-01-08,BANK_VISIBLE_ONLY
2026-01-08,AC-004,CNY,18820478.58,CORE_ACCOUNT,2026-01-08,BANK_VISIBLE_ONLY
2026-01-08,AC-006,CNY,8247683.1,CORE_ACCOUNT,2026-01-08,BANK_VISIBLE_ONLY
2026-01-08,AC-007,CNY,5749905.73,CORE_ACCOUNT,2026-01-08,BANK_VISIBLE_ONLY
2026-01-08,AC-008,CNY,10546706.73,CORE_ACCOUNT,2026-01-08,BANK_VISIBLE_ONLY
2026-01-08,AC-009,CNY,1945879.28,CORE_ACCOUNT,2026-01-08,BANK_VISIBLE_ONLY
2026-01-09,AC-001,CNY,46647462.08,CORE_ACCOUNT,2026-01-09,BANK_VISIBLE_ONLY
2026-01-09,AC-002,CNY,23108157.78,CORE_ACCOUNT,2026-01-09,BANK_VISIBLE_ONLY
2026-01-09,AC-003,CNY,2945945.78,CORE_ACCOUNT,2026-01-09,BANK_VISIBLE_ONLY
2026-01-09,AC-004,CNY,18368213.72,CORE_ACCOUNT,2026-01-09,BANK_VISIBLE_ONLY
2026-01-09,AC-006,CNY,8404935.22,CORE_ACCOUNT,2026-01-09,BANK_VISIBLE_ONLY
2026-01-09,AC-007,CNY,5481622.42,CORE_ACCOUNT,2026-01-09,BANK_VISIBLE_ONLY
2026-01-09,AC-008,CNY,10414238.36,CORE_ACCOUNT,2026-01-09,BANK_VISIBLE_ONLY
2026-01-09,AC-009,CNY,1913343.51,CORE_ACCOUNT,2026-01-09,BANK_VISIBLE_ONLY
2026-01-10,AC-001,CNY,46519285.23,CORE_ACCOUNT,2026-01-10,BANK_VISIBLE_ONLY
2026-01-10,AC-002,CNY,23053988.5,CORE_ACCOUNT,2026-01-10,BANK_VISIBLE_ONLY
2026-01-10,AC-003,CNY,3016691.1,CORE_ACCOUNT,2026-01-10,BANK_VISIBLE_ONLY
2026-01-10,AC-004,CNY,19152719.62,CORE_ACCOUNT,2026-01-10,BANK_VISIBLE_ONLY
2026-01-10,AC-006,CNY,7799021.93,CORE_ACCOUNT,2026-01-10,BANK_VISIBLE_ONLY
2026-01-10,AC-007,CNY,5685547.05,CORE_ACCOUNT,2026-01-10,BANK_VISIBLE_ONLY
2026-01-10,AC-008,CNY,10777763.5,CORE_ACCOUNT,2026-01-10,BANK_VISIBLE_ONLY
2026-01-10,AC-009,CNY,1926286.13,CORE_ACCOUNT,2026-01-10,BANK_VISIBLE_ONLY
2026-01-11,AC-001,CNY,48019032.52,CORE_ACCOUNT,2026-01-11,BANK_VISIBLE_ONLY
2026-01-11,AC-002,CNY,23730200.18,CORE_ACCOUNT,2026-01-11,BANK_VISIBLE_ONLY
2026-01-11,AC-003,CNY,2768354.43,CORE_ACCOUNT,2026-01-11,BANK_VISIBLE_ONLY
2026-01-11,AC-004,CNY,17247004.1,CORE_ACCOUNT,2026-01-11,BANK_VISIBLE_ONLY
2026-01-11,AC-006,CNY,7694899.32,CORE_ACCOUNT,2026-01-11,BANK_VISIBLE_ONLY
2026-01-11,AC-007,CNY,5506937.76,CORE_ACCOUNT,2026-01-11,BANK_VISIBLE_ONLY
2026-01-11,AC-008,CNY,10889043.02,CORE_ACCOUNT,2026-01-11,BANK_VISIBLE_ONLY
2026-01-11,AC-009,CNY,1870673.73,CORE_ACCOUNT,2026-01-11,BANK_VISIBLE_ONLY
2026-01-12,AC-001,CNY,48623345.41,CORE_ACCOUNT,2026-01-12,BANK_VISIBLE_ONLY
2026-01-12,AC-002,CNY,25521504.59,CORE_ACCOUNT,2026-01-12,BANK_VISIBLE_ONLY
2026-01-12,AC-003,CNY,2946347.58,CORE_ACCOUNT,2026-01-12,BANK_VISIBLE_ONLY
2026-01-12,AC-004,CNY,16337891.06,CORE_ACCOUNT,2026-01-12,BANK_VISIBLE_ONLY
2026-01-12,AC-006,CNY,7635106.57,CORE_ACCOUNT,2026-01-12,BANK_VISIBLE_ONLY
2026-01-12,AC-007,CNY,6136267.71,CORE_ACCOUNT,2026-01-12,BANK_VISIBLE_ONLY
2026-01-12,AC-008,CNY,11645435.58,CORE_ACCOUNT,2026-01-12,BANK_VISIBLE_ONLY
2026-01-12,AC-009,CNY,2112137.43,CORE_ACCOUNT,2026-01-12,BANK_VISIBLE_ONLY
2026-01-13,AC-001,CNY,50199972.72,CORE_ACCOUNT,2026-01-13,BANK_VISIBLE_ONLY
2026-01-13,AC-002,CNY,25015311.78,CORE_ACCOUNT,2026-01-13,BANK_VISIBLE_ONLY
2026-01-13,AC-003,CNY,3045737.6,CORE_ACCOUNT,2026-01-13,BANK_VISIBLE_ONLY
2026-01-13,AC-004,CNY,18372724.73,CORE_ACCOUNT,2026-01-13,BANK_VISIBLE_ONLY
2026-01-13,AC-006,CNY,8100493.88,CORE_ACCOUNT,2026-01-13,BANK_VISIBLE_ONLY
2026-01-13,AC-007,CNY,6594518.98,CORE_ACCOUNT,2026-01-13,BANK_VISIBLE_ONLY
2026-01-13,AC-008,CNY,10999736.93,CORE_ACCOUNT,2026-01-13,BANK_VISIBLE_ONLY
2026-01-13,AC-009,CNY,2042523.33,CORE_ACCOUNT,2026-01-13,BANK_VISIBLE_ONLY
2026-01-14,AC-001,CNY,52099071.94,CORE_ACCOUNT,2026-01-14,BANK_VISIBLE_ONLY
2026-01-14,AC-002,CNY,24829031.05,CORE_ACCOUNT,2026-01-14,BANK_VISIBLE_ONLY
2026-01-14,AC-003,CNY,3269590.6,CORE_ACCOUNT,2026-01-14,BANK_VISIBLE_ONLY
2026-01-14,AC-004,CNY,18471572.43,CORE_ACCOUNT,2026-01-14,BANK_VISIBLE_ONLY
2026-01-14,AC-006,CNY,8615113.99,CORE_ACCOUNT,2026-01-14,BANK_VISIBLE_ONLY
2026-01-14,AC-007,CNY,6233396.74,CORE_ACCOUNT,2026-01-14,BANK_VISIBLE_ONLY
2026-01-14,AC-008,CNY,11816813.65,CORE_ACCOUNT,2026-01-14,BANK_VISIBLE_ONLY
2026-01-14,AC-009,CNY,2103562.64,CORE_ACCOUNT,2026-01-14,BANK_VISIBLE_ONLY
2026-01-15,AC-001,CNY,49289700.1,CORE_ACCOUNT,2026-01-15,BANK_VISIBLE_ONLY
2026-01-15,AC-002,CNY,24036638.42,CORE_ACCOUNT,2026-01-15,BANK_VISIBLE_ONLY
2026-01-15,AC-003,CNY,3030546.72,CORE_ACCOUNT,2026-01-15,BANK_VISIBLE_ONLY
2026-01-15,AC-004,CNY,19886150.64,CORE_ACCOUNT,2026-01-15,BANK_VISIBLE_ONLY
2026-01-15,AC-006,CNY,8300721.08,CORE_ACCOUNT,2026-01-15,BANK_VISIBLE_ONLY
2026-01-15,AC-007,CNY,6143532.73,CORE_ACCOUNT,2026-01-15,BANK_VISIBLE_ONLY
2026-01-15,AC-008,CNY,10699228.8,CORE_ACCOUNT,2026-01-15,BANK_VISIBLE_ONLY
2026-01-15,AC-009,CNY,1937671.09,CORE_ACCOUNT,2026-01-15,BANK_VISIBLE_ONLY
2026-01-16,AC-001,CNY,48454327.35,CORE_ACCOUNT,2026-01-16,BANK_VISIBLE_ONLY
2026-01-16,AC-002,CNY,22919537.92,CORE_ACCOUNT,2026-01-16,BANK_VISIBLE_ONLY
2026-01-16,AC-003,CNY,2994999.51,CORE_ACCOUNT,2026-01-16,BANK_VISIBLE_ONLY
2026-01-16,AC-004,CNY,18618600.13,CORE_ACCOUNT,2026-01-16,BANK_VISIBLE_ONLY
2026-01-16,AC-006,CNY,8514981.25,CORE_ACCOUNT,2026-01-16,BANK_VISIBLE_ONLY
2026-01-16,AC-007,CNY,5741042.43,CORE_ACCOUNT,2026-01-16,BANK_VISIBLE_ONLY
2026-01-16,AC-008,CNY,10694538.41,CORE_ACCOUNT,2026-01-16,BANK_VISIBLE_ONLY
2026-01-16,AC-009,CNY,1942014.77,CORE_ACCOUNT,2026-01-16,BANK_VISIBLE_ONLY
2026-01-17,AC-001,CNY,50244056.18,CORE_ACCOUNT,2026-01-17,BANK_VISIBLE_ONLY
2026-01-17,AC-002,CNY,22495624.07,CORE_ACCOUNT,2026-01-17,BANK_VISIBLE_ONLY
2026-01-17,AC-003,CNY,2865560.19,CORE_ACCOUNT,2026-01-17,BANK_VISIBLE_ONLY
2026-01-17,AC-004,CNY,17997966.18,CORE_ACCOUNT,2026-01-17,BANK_VISIBLE_ONLY
2026-01-17,AC-006,CNY,7607870.41,CORE_ACCOUNT,2026-01-17,BANK_VISIBLE_ONLY
2026-01-17,AC-007,CNY,5393504.67,CORE_ACCOUNT,2026-01-17,BANK_VISIBLE_ONLY
2026-01-17,AC-008,CNY,10486206.34,CORE_ACCOUNT,2026-01-17,BANK_VISIBLE_ONLY
2026-01-17,AC-009,CNY,2102350.48,CORE_ACCOUNT,2026-01-17,BANK_VISIBLE_ONLY
2026-01-18,AC-001,CNY,46459793.77,CORE_ACCOUNT,2026-01-18,BANK_VISIBLE_ONLY
2026-01-18,AC-002,CNY,24164233.87,CORE_ACCOUNT,2026-01-18,BANK_VISIBLE_ONLY
2026-01-18,AC-003,CNY,2921998.65,CORE_ACCOUNT,2026-01-18,BANK_VISIBLE_ONLY
2026-01-18,AC-004,CNY,17616957.98,CORE_ACCOUNT,2026-01-18,BANK_VISIBLE_ONLY
2026-01-18,AC-006,CNY,7754846.34,CORE_ACCOUNT,2026-01-18,BANK_VISIBLE_ONLY
2026-01-18,AC-007,CNY,5900525.48,CORE_ACCOUNT,2026-01-18,BANK_VISIBLE_ONLY
2026-01-18,AC-008,CNY,10590118.36,CORE_ACCOUNT,2026-01-18,BANK_VISIBLE_ONLY
2026-01-18,AC-009,CNY,1904762.84,CORE_ACCOUNT,2026-01-18,BANK_VISIBLE_ONLY
2026-01-19,AC-001,CNY,46304958.47,CORE_ACCOUNT,2026-01-19,BANK_VISIBLE_ONLY
2026-01-19,AC-002,CNY,24597979.02,CORE_ACCOUNT,2026-01-19,BANK_VISIBLE_ONLY
2026-01-19,AC-003,CNY,2882140.31,CORE_ACCOUNT,2026-01-19,BANK_VISIBLE_ONLY
2026-01-19,AC-004,CNY,18190236.57,CORE_ACCOUNT,2026-01-19,BANK_VISIBLE_ONLY
2026-01-19,AC-006,CNY,8053583.97,CORE_ACCOUNT,2026-01-19,BANK_VISIBLE_ONLY
2026-01-19,AC-007,CNY,6020095.22,CORE_ACCOUNT,2026-01-19,BANK_VISIBLE_ONLY
2026-01-19,AC-008,CNY,11129984.0,CORE_ACCOUNT,2026-01-19,BANK_VISIBLE_ONLY
2026-01-19,AC-009,CNY,1967627.25,CORE_ACCOUNT,2026-01-19,BANK_VISIBLE_ONLY
2026-01-20,AC-001,CNY,47346071.33,CORE_ACCOUNT,2026-01-20,BANK_VISIBLE_ONLY
2026-01-20,AC-002,CNY,26201797.39,CORE_ACCOUNT,2026-01-20,BANK_VISIBLE_ONLY
2026-01-20,AC-003,CNY,3113073.02,CORE_ACCOUNT,2026-01-20,BANK_VISIBLE_ONLY
2026-01-20,AC-004,CNY,16611570.26,CORE_ACCOUNT,2026-01-20,BANK_VISIBLE_ONLY
2026-01-20,AC-006,CNY,8179757.19,CORE_ACCOUNT,2026-01-20,BANK_VISIBLE_ONLY
2026-01-20,AC-007,CNY,6238306.93,CORE_ACCOUNT,2026-01-20,BANK_VISIBLE_ONLY
2026-01-20,AC-008,CNY,11410574.04,CORE_ACCOUNT,2026-01-20,BANK_VISIBLE_ONLY
2026-01-20,AC-009,CNY,2058649.87,CORE_ACCOUNT,2026-01-20,BANK_VISIBLE_ONLY
2026-01-21,AC-001,CNY,52050232.43,CORE_ACCOUNT,2026-01-21,BANK_VISIBLE_ONLY
2026-01-21,AC-002,CNY,25350020.97,CORE_ACCOUNT,2026-01-21,BANK_VISIBLE_ONLY
2026-01-21,AC-003,CNY,2921439.78,CORE_ACCOUNT,2026-01-21,BANK_VISIBLE_ONLY
2026-01-21,AC-004,CNY,18422725.23,CORE_ACCOUNT,2026-01-21,BANK_VISIBLE_ONLY
2026-01-21,AC-006,CNY,8323825.95,CORE_ACCOUNT,2026-01-21,BANK_VISIBLE_ONLY
2026-01-21,AC-007,CNY,6307357.28,CORE_ACCOUNT,2026-01-21,BANK_VISIBLE_ONLY
2026-01-21,AC-008,CNY,10531668.09,CORE_ACCOUNT,2026-01-21,BANK_VISIBLE_ONLY
2026-01-21,AC-009,CNY,2020307.08,CORE_ACCOUNT,2026-01-21,BANK_VISIBLE_ONLY
2026-01-22,AC-001,CNY,50297593.61,CORE_ACCOUNT,2026-01-22,BANK_VISIBLE_ONLY
2026-01-22,AC-002,CNY,25115723.37,CORE_ACCOUNT,2026-01-22,BANK_VISIBLE_ONLY
2026-01-22,AC-003,CNY,2905317.63,CORE_ACCOUNT,2026-01-22,BANK_VISIBLE_ONLY
2026-01-22,AC-004,CNY,18315099.03,CORE_ACCOUNT,2026-01-22,BANK_VISIBLE_ONLY
2026-01-22,AC-006,CNY,8615080.22,CORE_ACCOUNT,2026-01-22,BANK_VISIBLE_ONLY
2026-01-22,AC-007,CNY,6293551.79,CORE_ACCOUNT,2026-01-22,BANK_VISIBLE_ONLY
2026-01-22,AC-008,CNY,10801101.96,CORE_ACCOUNT,2026-01-22,BANK_VISIBLE_ONLY
2026-01-22,AC-009,CNY,1993190.94,CORE_ACCOUNT,2026-01-22,BANK_VISIBLE_ONLY
2026-01-23,AC-001,CNY,46684708.96,CORE_ACCOUNT,2026-01-23,BANK_VISIBLE_ONLY
2026-01-23,AC-002,CNY,23185196.0,CORE_ACCOUNT,2026-01-23,BANK_VISIBLE_ONLY
2026-01-23,AC-003,CNY,2991292.88,CORE_ACCOUNT,2026-01-23,BANK_VISIBLE_ONLY
2026-01-23,AC-004,CNY,18067219.62,CORE_ACCOUNT,2026-01-23,BANK_VISIBLE_ONLY
2026-01-23,AC-006,CNY,7752691.36,CORE_ACCOUNT,2026-01-23,BANK_VISIBLE_ONLY
2026-01-23,AC-007,CNY,5820102.85,CORE_ACCOUNT,2026-01-23,BANK_VISIBLE_ONLY
2026-01-23,AC-008,CNY,10727405.6,CORE_ACCOUNT,2026-01-23,BANK_VISIBLE_ONLY
2026-01-23,AC-009,CNY,1886693.09,CORE_ACCOUNT,2026-01-23,BANK_VISIBLE_ONLY
2026-01-24,AC-001,CNY,47483071.78,CORE_ACCOUNT,2026-01-24,BANK_VISIBLE_ONLY
2026-01-24,AC-002,CNY,21519830.58,CORE_ACCOUNT,2026-01-24,BANK_VISIBLE_ONLY
2026-01-24,AC-003,CNY,2765229.0,CORE_ACCOUNT,2026-01-24,BANK_VISIBLE_ONLY
2026-01-24,AC-004,CNY,18335361.34,CORE_ACCOUNT,2026-01-24,BANK_VISIBLE_ONLY
2026-01-24,AC-006,CNY,8093491.42,CORE_ACCOUNT,2026-01-24,BANK_VISIBLE_ONLY
2026-01-24,AC-007,CNY,5679128.86,CORE_ACCOUNT,2026-01-24,BANK_VISIBLE_ONLY
2026-01-24,AC-008,CNY,11160605.63,CORE_ACCOUNT,2026-01-24,BANK_VISIBLE_ONLY
2026-01-24,AC-009,CNY,1822794.67,CORE_ACCOUNT,2026-01-24,BANK_VISIBLE_ONLY
2026-01-25,AC-001,CNY,45512575.87,CORE_ACCOUNT,2026-01-25,BANK_VISIBLE_ONLY
2026-01-25,AC-002,CNY,24066660.35,CORE_ACCOUNT,2026-01-25,BANK_VISIBLE_ONLY
2026-01-25,AC-003,CNY,2956125.03,CORE_ACCOUNT,2026-01-25,BANK_VISIBLE_ONLY
2026-01-25,AC-004,CNY,18451351.32,CORE_ACCOUNT,2026-01-25,BANK_VISIBLE_ONLY
2026-01-25,AC-006,CNY,7744657.54,CORE_ACCOUNT,2026-01-25,BANK_VISIBLE_ONLY
2026-01-25,AC-007,CNY,5859586.47,CORE_ACCOUNT,2026-01-25,BANK_VISIBLE_ONLY
2026-01-25,AC-008,CNY,11690938.59,CORE_ACCOUNT,2026-01-25,BANK_VISIBLE_ONLY
2026-01-25,AC-009,CNY,2003551.27,CORE_ACCOUNT,2026-01-25,BANK_VISIBLE_ONLY
2026-01-26,AC-001,CNY,46664466.27,CORE_ACCOUNT,2026-01-26,BANK_VISIBLE_ONLY
2026-01-26,AC-002,CNY,25311528.61,CORE_ACCOUNT,2026-01-26,BANK_VISIBLE_ONLY
2026-01-26,AC-003,CNY,2968797.35,CORE_ACCOUNT,2026-01-26,BANK_VISIBLE_ONLY
2026-01-26,AC-004,CNY,17851504.87,CORE_ACCOUNT,2026-01-26,BANK_VISIBLE_ONLY
2026-01-26,AC-006,CNY,8051930.54,CORE_ACCOUNT,2026-01-26,BANK_VISIBLE_ONLY
2026-01-26,AC-007,CNY,5826861.67,CORE_ACCOUNT,2026-01-26,BANK_VISIBLE_ONLY
2026-01-26,AC-008,CNY,12296859.25,CORE_ACCOUNT,2026-01-26,BANK_VISIBLE_ONLY
2026-01-26,AC-009,CNY,2054311.43,CORE_ACCOUNT,2026-01-26,BANK_VISIBLE_ONLY
2026-01-27,AC-001,CNY,49315671.75,CORE_ACCOUNT,2026-01-27,BANK_VISIBLE_ONLY
2026-01-27,AC-002,CNY,25630358.37,CORE_ACCOUNT,2026-01-27,BANK_VISIBLE_ONLY
2026-01-27,AC-003,CNY,2947108.23,CORE_ACCOUNT,2026-01-27,BANK_VISIBLE_ONLY
2026-01-27,AC-004,CNY,18277558.0,CORE_ACCOUNT,2026-01-27,BANK_VISIBLE_ONLY
2026-01-27,AC-006,CNY,8300610.0,CORE_ACCOUNT,2026-01-27,BANK_VISIBLE_ONLY
2026-01-27,AC-007,CNY,5899823.6,CORE_ACCOUNT,2026-01-27,BANK_VISIBLE_ONLY
2026-01-27,AC-008,CNY,11951472.15,CORE_ACCOUNT,2026-01-27,BANK_VISIBLE_ONLY
2026-01-27,AC-009,CNY,2066133.68,CORE_ACCOUNT,2026-01-27,BANK_VISIBLE_ONLY
2026-01-28,AC-001,CNY,47667420.5,CORE_ACCOUNT,2026-01-28,BANK_VISIBLE_ONLY
2026-01-28,AC-002,CNY,23840566.17,CORE_ACCOUNT,2026-01-28,BANK_VISIBLE_ONLY
2026-01-28,AC-003,CNY,3086066.6,CORE_ACCOUNT,2026-01-28,BANK_VISIBLE_ONLY
2026-01-28,AC-004,CNY,17924940.91,CORE_ACCOUNT,2026-01-28,BANK_VISIBLE_ONLY
