item_id,counterparty,amount_cny,aging_bucket,due_date
AP-001,杭州智联数控设备有限公司,7934893.65,31-60,2026-08-22
AP-002,杭州智联数控设备有限公司,11937390.27,0-30,2026-07-22
AP-003,苏州德昇伺服科技有限公司,15787691.66,0-30,2026-06-28
AP-004,杭州智联数控设备有限公司,1982894.74,31-60,2026-09-11
AP-005,苏州德昇伺服科技有限公司,9876199.66,61-90,2026-07-23
AP-006,苏州德昇伺服科技有限公司,9084366.99,61-90,2026-08-22
AP-007,浙江恒远钢材贸易有限公司,12189130.99,0-30,2026-06-30
AP-008,苏州德昇伺服科技有限公司,9853181.55,61-90,2026-07-19
AP-009,杭州智联数控设备有限公司,2470858.54,31-60,2026-07-07
AP-010,杭州智联数控设备有限公司,11479873.07,0-30,2026-06-01
AP-011,杭州智联数控设备有限公司,13641839.39,31-60,2026-06-11
AP-012,苏州德昇伺服科技有限公司,6100193.34,0-30,2026-06-19
AP-013,宁波精密传动有限公司,3161924.67,0-30,2026-08-25
AP-014,宁波精密传动有限公司,4256505.13,0-30,2026-06-24
AP-015,杭州智联数控设备有限公司,7320680.64,31-60,2026-05-31
AP-016,苏州德昇伺服科技有限公司,1326894.72,31-60,2026-06-02
AP-017,苏州德昇伺服科技有限公司,13267193.83,31-60,2026-08-02
AP-018,苏州德昇伺服科技有限公司,10008366.95,61-90,2026-06-08
AP-019,宁波精密传动有限公司,8050923.87,61-90,2026-08-05
AP-020,苏州德昇伺服科技有限公司,5733695.85,31-60,2026-07-22
AP-021,杭州智联数控设备有限公司,4065390.57,61-90,2026-07-26
AP-022,杭州智联数控设备有限公司,3411022.27,0-30,2026-08-15
AP-023,杭州智联数控设备有限公司,4498313.62,0-30,2026-08-19
AP-024,苏州德昇伺服科技有限公司,8416546.21,31-60,2026-06-07
AP-025,杭州智联数控设备有限公司,12990171.7,31-60,2026-06-09
AP-026,杭州智联数控设备有限公司,11573251.77,31-60,2026-09-09
AP-027,宁波精密传动有限公司,14255306.73,31-60,2026-06-25
AP-028,宁波精密传动有限公司,14000334.27,31-60,2026-06-04
AP-029,宁波精密传动有限公司,6760436.54,61-90,2026-06-19
AP-030,苏州德昇伺服科技有限公司,10434959.56,0-30,2026-08-12
