month,customer_id,avg_daily_deposit_10k_cny,monthly_settlement_100m_cny,credit_total_10k_cny,used_credit_10k_cny,loan_balance_10k_cny,bank_acceptance_balance_10k_cny,guarantee_balance_10k_cny,payroll_employees,cash_management,supply_chain_finance,source_system
2025-02,CUST-001,9200.0,3.11,15000,8500,8500,1100,900,486,N,N,RELATIONSHIP_MART
2025-03,CUST-001,9420.0,3.25,15000,9000,8500,1100,900,489,N,N,RELATIONSHIP_MART
2025-04,CUST-001,9640.0,3.24,15000,9500,8500,1100,900,492,N,N,RELATIONSHIP_MART
2025-05,CUST-001,9860.0,3.19,15000,10000,8500,1100,900,495,N,N,RELATIONSHIP_MART
2025-06,CUST-001,10080.0,3.31,15000,8500,8500,1100,900,486,N,N,RELATIONSHIP_MART
2025-07,CUST-001,10300.0,3.31,15000,9000,8500,1100,900,489,N,N,RELATIONSHIP_MART
2025-08,CUST-001,10520.0,3.46,15000,9500,8500,1100,900,492,N,N,RELATIONSHIP_MART
2025-09,CUST-001,10740.0,3.3,15000,10000,8500,1100,900,495,N,N,RELATIONSHIP_MART
2025-10,CUST-001,10960.0,3.48,15000,8500,8500,1100,900,486,N,N,RELATIONSHIP_MART
2025-11,CUST-001,11180.0,3.48,15000,9000,8500,1100,900,489,N,N,RELATIONSHIP_MART
2025-12,CUST-001,11400.0,3.54,15000,9500,8500,1100,900,492,N,N,RELATIONSHIP_MART
2026-01,CUST-001,11620.0,3.61,15000,10000,8500,1100,900,495,N,N,RELATIONSHIP_MART
2026-02,CUST-001,11840.0,3.69,15000,8500,8500,1100,900,486,N,N,RELATIONSHIP_MART
2026-03,CUST-001,12000,3.65,15000,9000,8500,1100,900,489,N,N,RELATIONSHIP_MART
2026-04,CUST-001,11600,3.8,15000,9500,8500,1100,900,492,N,N,RELATIONSHIP_MART
2026-05,CUST-001,10400,3.77,15000,10000,8500,1600,900,495,N,N,RELATIONSHIP_MART
2026-06,CUST-001,9200,3.73,15000,11000,8500,1600,900,486,N,N,RELATIONSHIP_MART
2026-07,CUST-001,7800,3.68,15000,11000,8500,1600,900,489,N,N,RELATIONSHIP_MART
