item_id,counterparty,amount_cny,aging_bucket,due_date
AR-001,上海凌云智能科技有限公司,16488644.93,91-180,2026-09-02
AR-002,宁波华源自动化有限公司,20907080.31,0-30,2026-09-11
AR-003,宁波华源自动化有限公司,20067277.78,61-90,2026-08-16
AR-004,宁波华源自动化有限公司,11491344.79,61-90,2026-08-10
AR-005,宁波华源自动化有限公司,17979963.48,91-180,2026-06-02
AR-006,杭州某新能源装备有限公司,3911290.08,0-30,2026-05-08
AR-007,杭州某新能源装备有限公司,2685229.24,0-30,2026-05-22
AR-008,杭州某新能源装备有限公司,9249448.31,31-60,2026-09-01
AR-009,杭州某新能源装备有限公司,5696995.39,91-180,2026-08-04
AR-010,上海凌云智能科技有限公司,7995162.9,31-60,2026-09-05
AR-011,合肥星拓工业有限公司,23031329.77,0-30,2026-07-23
AR-012,宁波华源自动化有限公司,25740137.53,61-90,2026-09-11
AR-013,宁波华源自动化有限公司,8744711.46,91-180,2026-05-11
AR-014,上海凌云智能科技有限公司,4097776.02,0-30,2026-08-31
AR-015,杭州某新能源装备有限公司,3945916.95,0-30,2026-06-29
AR-016,宁波华源自动化有限公司,12759092.06,31-60,2026-05-19
AR-017,杭州某新能源装备有限公司,21293816.61,91-180,2026-07-09
AR-018,杭州某新能源装备有限公司,14618360.45,61-90,2026-04-30
AR-019,合肥星拓工业有限公司,2275409.91,0-30,2026-07-06
AR-020,杭州某新能源装备有限公司,3230813.19,0-30,2026-08-24
AR-021,宁波华源自动化有限公司,10733339.67,31-60,2026-06-27
AR-022,上海凌云智能科技有限公司,26853673.09,0-30,2026-05-29
AR-023,宁波华源自动化有限公司,26336518.57,31-60,2026-04-22
AR-024,杭州某新能源装备有限公司,22497629.99,31-60,2026-06-03
AR-025,合肥星拓工业有限公司,25431966.91,91-180,2026-06-29
AR-026,杭州某新能源装备有限公司,16071308.31,31-60,2026-07-31
AR-027,宁波华源自动化有限公司,21569278.16,61-90,2026-05-09
AR-028,宁波华源自动化有限公司,6280404.8,31-60,2026-08-16
AR-029,杭州某新能源装备有限公司,13826673.21,0-30,2026-05-02
AR-030,上海凌云智能科技有限公司,5408885.05,91-180,2026-07-03
