transaction_id,date,account_id,counterparty_id,counterparty_name,counterparty_type,direction,amount_cny,purpose,channel,source_system,bank_visible_only,evidence_eligible
TX-2026-00147,2026-01-01,AC-001,CP-016,能源服务商A,能源,OUT,242777.08,能源费用,银企直联,PAYMENT_LEDGER,True,True
TX-2026-00215,2026-01-01,AC-004,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,604612.12,原材料货款,柜面,PAYMENT_LEDGER,True,True
TX-2026-00269,2026-01-01,AC-001,CP-018,他行归集账户A,他行往来,IN,4494634.53,跨行资金调拨,企业网银,PAYMENT_LEDGER,True,True
TX-2026-00337,2026-01-01,AC-001,CP-007,杭州某新能源装备有限公司,下游客户,IN,451756.1,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-01377,2026-01-01,AC-006,CP-008,宁波华源自动化有限公司,下游客户,IN,1512684.05,销售回款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01429,2026-01-01,AC-004,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,1003023.31,原材料货款,柜面,PAYMENT_LEDGER,True,True
TX-2026-01435,2026-01-01,AC-001,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,1338423.45,原材料货款,柜面,PAYMENT_LEDGER,True,True
TX-2026-01683,2026-01-01,AC-004,CP-007,杭州某新能源装备有限公司,下游客户,IN,317382.56,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-01684,2026-01-01,AC-004,CP-008,宁波华源自动化有限公司,下游客户,IN,1807819.11,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-01740,2026-01-01,AC-008,CP-001,杭州智联数控设备有限公司,设备供应商,OUT,1385446.67,设备预付款/设备采购款,柜面,PAYMENT_LEDGER,True,True
TX-2026-01796,2026-01-01,AC-001,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,487656.51,原材料货款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02293,2026-01-01,AC-004,CP-007,杭州某新能源装备有限公司,下游客户,IN,2494679.01,销售回款,柜面,PAYMENT_LEDGER,True,True
