month,customer_id,avg_daily_deposit_10k_cny,monthly_settlement_100m_cny,loan_balance_10k_cny,credit_total_10k_cny,used_credit_10k_cny,available_credit_10k_cny,bank_acceptance_bill_balance_10k_cny,guarantee_balance_10k_cny,payroll_employees,cash_management_opened,supply_chain_finance_opened,cross_border_settlement_10k_cny,product_count,customer_contribution_level,anomaly_flags
2025-08,CUST-CORP-0001,9800,3.1,7600,15000,7600,7400,900,0,486,N,N,30,4,A,
2025-09,CUST-CORP-0001,10200,3.2,7600,15000,7600,7400,920,0,490,N,N,35,4,A,
2025-10,CUST-CORP-0001,10800,3.4,8200,15000,8200,6800,940,0,494,N,N,40,4,A,
2025-11,CUST-CORP-0001,11200,3.5,8200,15000,8200,6800,960,0,486,N,N,45,4,A,
2025-12,CUST-CORP-0001,11800,3.6,8500,15000,8500,6500,980,0,490,N,N,50,4,A,
2026-01,CUST-CORP-0001,12100,3.7,8500,15000,8500,6500,1000,300,494,N,N,55,4,A,
2026-02,CUST-CORP-0001,12000,3.8,8500,15000,8500,6500,1020,300,486,N,N,60,4,A,
2026-03,CUST-CORP-0001,11600,3.6,9000,15000,9000,6000,1040,300,490,N,N,65,4,A,
2026-04,CUST-CORP-0001,10400,3.7,10500,15000,10500,4500,1060,300,494,N,N,80,5,A,
2026-05,CUST-CORP-0001,9200,3.8,10800,15000,10800,4200,1080,300,486,N,N,105,5,A,
2026-06,CUST-CORP-0001,8500,4.1,11000,15000,11000,4000,1100,300,490,N,N,130,5,A,DEPOSIT_DOWN;EQUIPMENT_PAYMENT_UP
2026-07,CUST-CORP-0001,7800,4.0,11000,15000,11000,4000,1120,300,494,N,N,155,5,A,DEPOSIT_DOWN;EQUIPMENT_PAYMENT_UP
